gene_id	exonic_length
ENSMUSG00000051951	6094
ENSMUSG00000089699	250
ENSMUSG00000102331	3259
ENSMUSG00000102343	1364
ENSMUSG00000025900	12311
ENSMUSG00000025902	4772
ENSMUSG00000104238	2917
ENSMUSG00000104328	2773
ENSMUSG00000033845	8487
ENSMUSG00000025903	7145
ENSMUSG00000033813	3017
ENSMUSG00000002459	4239
ENSMUSG00000085623	3725
ENSMUSG00000033793	9746
ENSMUSG00000025905	9151
ENSMUSG00000033774	3692
ENSMUSG00000025907	14690
ENSMUSG00000090031	5428
ENSMUSG00000087247	971
ENSMUSG00000033740	6464
ENSMUSG00000051285	6654
ENSMUSG00000097797	4339
ENSMUSG00000103067	2596
ENSMUSG00000025909	10908
ENSMUSG00000061024	2048
ENSMUSG00000025911	3780
ENSMUSG00000079671	4910
ENSMUSG00000067879	3256
ENSMUSG00000099827	1067
ENSMUSG00000025912	5402
ENSMUSG00000045210	9749
ENSMUSG00000097893	3101
ENSMUSG00000025915	14311
ENSMUSG00000046101	5916
ENSMUSG00000098234	1146
ENSMUSG00000099032	4193
ENSMUSG00000025916	1523
ENSMUSG00000087199	656
ENSMUSG00000025917	3766
ENSMUSG00000056763	17553
ENSMUSG00000067851	11318
ENSMUSG00000042501	6840
ENSMUSG00000048960	16609
ENSMUSG00000057715	9183
ENSMUSG00000097171	3200
ENSMUSG00000101314	853
ENSMUSG00000016918	11294
ENSMUSG00000025938	13137
ENSMUSG00000099498	288
ENSMUSG00000042414	2564
ENSMUSG00000005886	15642
ENSMUSG00000101476	681
ENSMUSG00000025935	3162
ENSMUSG00000025937	4566
ENSMUSG00000067813	1926
ENSMUSG00000025932	7808
ENSMUSG00000054493	3566
ENSMUSG00000025930	2546
ENSMUSG00000032769	4263
ENSMUSG00000092083	15165
ENSMUSG00000025925	4608
ENSMUSG00000032719	2748
ENSMUSG00000067795	2063
ENSMUSG00000043716	2687
ENSMUSG00000025921	4160
ENSMUSG00000100868	1515
ENSMUSG00000025920	6747
ENSMUSG00000089982	1003
ENSMUSG00000025939	4930
ENSMUSG00000079658	3026
ENSMUSG00000097744	2788
ENSMUSG00000025940	1820
ENSMUSG00000025779	1021
ENSMUSG00000101640	176
ENSMUSG00000042686	4998
ENSMUSG00000100110	359
ENSMUSG00000025777	7731
ENSMUSG00000099899	1011
ENSMUSG00000067780	6923
ENSMUSG00000100053	4218
ENSMUSG00000085125	8345
ENSMUSG00000025776	4515
ENSMUSG00000099895	629
ENSMUSG00000109887	2570
ENSMUSG00000025774	2737
ENSMUSG00000073735	258
ENSMUSG00000067773	610
ENSMUSG00000089787	918
ENSMUSG00000042596	1954
ENSMUSG00000025927	6338
ENSMUSG00000100538	202
ENSMUSG00000043760	14310
ENSMUSG00000089914	788
ENSMUSG00000099906	5551
ENSMUSG00000025929	1171
ENSMUSG00000041872	2022
ENSMUSG00000041859	3752
ENSMUSG00000102121	833
ENSMUSG00000097934	1120
ENSMUSG00000025931	5488
ENSMUSG00000041809	2208
ENSMUSG00000041779	6661
ENSMUSG00000099971	546
ENSMUSG00000025933	1351
ENSMUSG00000025934	4344
ENSMUSG00000099343	633
ENSMUSG00000067750	1987
ENSMUSG00000041722	1946
ENSMUSG00000085079	2236
ENSMUSG00000028033	7689
ENSMUSG00000041670	7362
ENSMUSG00000101227	2078
ENSMUSG00000073730	1781
ENSMUSG00000097970	399
ENSMUSG00000100775	347
ENSMUSG00000026158	8109
ENSMUSG00000099503	778
ENSMUSG00000026156	6203
ENSMUSG00000026155	3575
ENSMUSG00000026154	874
ENSMUSG00000026153	7773
ENSMUSG00000026147	5068
ENSMUSG00000026141	6887
ENSMUSG00000073725	5960
ENSMUSG00000100483	1216
ENSMUSG00000099392	448
ENSMUSG00000033569	18559
ENSMUSG00000073722	4318
ENSMUSG00000101514	2002
ENSMUSG00000048411	2887
ENSMUSG00000053185	1161
ENSMUSG00000048874	14190
ENSMUSG00000026064	5541
ENSMUSG00000117310	4145
ENSMUSG00000117091	726
ENSMUSG00000086727	3751
ENSMUSG00000100237	585
ENSMUSG00000100910	2858
ENSMUSG00000050217	1937
ENSMUSG00000026063	1451
ENSMUSG00000026058	10291
ENSMUSG00000091318	3609
ENSMUSG00000102917	1221
ENSMUSG00000104230	650
ENSMUSG00000026134	5938
ENSMUSG00000004768	8285
ENSMUSG00000042215	3059
ENSMUSG00000042197	15839
ENSMUSG00000042182	3421
ENSMUSG00000026131	41619
ENSMUSG00000096992	4782
ENSMUSG00000104397	430
ENSMUSG00000102336	6263
ENSMUSG00000042111	2543
ENSMUSG00000101711	529
ENSMUSG00000026127	8553
ENSMUSG00000026126	6492
ENSMUSG00000100280	2409
ENSMUSG00000101223	1298
ENSMUSG00000026125	1333
ENSMUSG00000026124	1040
ENSMUSG00000037529	2105
ENSMUSG00000045815	510
ENSMUSG00000045174	4392
ENSMUSG00000037509	9861
ENSMUSG00000118272	171
ENSMUSG00000104002	2549
ENSMUSG00000037503	5219
ENSMUSG00000026123	7987
ENSMUSG00000104417	640
